state,median_income_2017
Alabama,48123
Alaska,73181
Arizona,56581
Arkansas,45869
California,71805
Colorado,69117
Connecticut,74168
Delaware,62852
Florida,52594
Georgia,56183
Hawaii,77765
Idaho,52225
Illinois,62992
Indiana,54181
Iowa,58570
Kansas,56422
Kentucky,48375
Louisiana,46145
Maine,55277
Maryland,80776
Massachusetts,77385
Michigan,54909
Minnesota,68388
Mississippi,43529
Missouri,53578
Montana,53386
Nebraska,59970
Nevada,58003
New Hampshire,73381
New Jersey,80088
New Mexico,46744
New York,64894
North Carolina,52752
North Dakota,61843
Ohio,54021
Oklahoma,50051
Oregon,60212
Pennsylvania,59105
Rhode Island,63870
South Carolina,50570
South Dakota,56521
Tennessee,51340
Texas,59206
Utah,65358
Vermont,57513
Virginia,71535
Washington,70979
District of Columbia,82372
West Virginia,43469
Wisconsin,59305
Wyoming,60434